#Time_millis number_of_S number_of_I number_of_R
5 500 0 0
107 500 0 0
207 500 0 0
308 500 0 0
408 500 0 0
508 500 0 0
608 500 0 0
709 500 0 0
809 500 0 0
909 500 0 0
1009 500 0 0
1110 500 0 0
1210 500 0 0
1310 500 0 0
1410 500 0 0
1511 500 0 0
1611 500 0 0
1711 500 0 0
1811 500 0 0
1912 500 0 0
2012 500 0 0
2112 500 0 0
2213 500 0 0
2313 500 0 0
2413 500 0 0
2514 500 0 0
2614 500 0 0
2714 500 0 0
2815 500 0 0
2915 500 0 0
3015 500 0 0
3115 500 0 0
3216 500 0 0
3316 500 0 0
3416 500 0 0
3517 500 0 0
3617 500 0 0
3717 500 0 0
3817 500 0 0
3918 500 0 0
4018 500 0 0
4118 500 0 0
4219 500 0 0
4319 500 0 0
4419 500 0 0
4520 500 0 0
4620 500 0 0
4720 500 0 0
4821 500 0 0
4921 500 0 0
5021 500 0 0
5122 500 0 0
5222 500 0 0
5322 500 0 0
5422 500 0 0
5523 500 0 0
5623 500 0 0
5723 500 0 0
5824 500 0 0
5924 500 0 0
6024 500 0 0
6125 500 0 0
6225 500 0 0
6325 500 0 0
6425 500 0 0
6526 500 0 0
6626 500 0 0
6726 500 0 0
6827 500 0 0
6927 500 0 0
7028 500 0 0
7128 500 0 0
7228 500 0 0
7328 500 0 0
7429 500 0 0
7529 500 0 0
7629 500 0 0
7730 500 0 0
7830 500 0 0
7930 500 0 0
8031 500 0 0
8131 500 0 0
8231 500 0 0
8332 500 0 0
8432 500 0 0
8532 500 0 0
8633 500 0 0
8733 500 0 0
8833 500 0 0
8933 500 0 0
9034 500 0 0
9134 500 0 0
9234 500 0 0
9335 500 0 0
9435 500 0 0
9536 500 0 0
9636 500 0 0
9736 500 0 0
9836 500 0 0
9937 500 0 0
10037 499 1 0
10137 499 1 0
10238 499 1 0
10338 499 1 0
10438 499 1 0
10539 499 1 0
10639 499 1 0
10739 499 1 0
10840 499 1 0
10940 499 1 0
11040 499 1 0
11140 499 1 0
11241 499 1 0
11341 499 1 0
11441 499 1 0
11541 499 1 0
11642 499 1 0
11742 499 1 0
11842 499 1 0
11943 499 1 0
12043 499 1 0
12143 499 1 0
12243 499 1 0
12344 499 1 0
12444 499 1 0
12544 499 1 0
12644 499 1 0
12744 499 1 0
12845 499 1 0
12945 499 1 0
13045 499 1 0
13145 499 1 0
13246 499 1 0
13346 499 1 0
13446 499 1 0
13546 499 1 0
13646 499 1 0
13747 499 1 0
13847 499 1 0
13947 499 1 0
14047 499 1 0
14148 499 1 0
14248 499 1 0
14348 499 1 0
14448 499 1 0
14548 499 1 0
14649 499 1 0
14749 499 1 0
14849 499 1 0
14949 499 1 0
15049 499 1 0
15150 499 1 0
15250 499 1 0
15350 499 1 0
15450 499 1 0
15550 499 1 0
15651 499 1 0
15751 499 1 0
15851 499 1 0
15951 499 1 0
16052 499 1 0
16152 499 1 0
16252 499 1 0
16352 499 1 0
16452 499 1 0
16553 499 1 0
16653 499 1 0
16753 499 1 0
16853 499 1 0
16954 499 1 0
17054 499 1 0
17154 499 1 0
17254 499 1 0
17355 499 1 0
17455 499 1 0
17555 499 1 0
17655 499 1 0
17755 499 1 0
17856 499 1 0
17956 499 1 0
18056 499 1 0
18156 499 1 0
18257 499 1 0
18357 499 1 0
18457 499 1 0
18557 499 1 0
18657 499 1 0
18758 499 1 0
18858 499 1 0
18958 499 1 0
19058 499 1 0
19158 499 1 0
19259 499 1 0
19359 499 1 0
19459 499 1 0
